,Unnamed: 0,Unnamed: 0.1,店铺名称,用户名,评论,scores,res
12,5710,13,众里寻她·千百度自助烤肉（温江店）,EEz175499635,出乎意料的差！和朋友都说重来没有吃过这么难吃的烤肉！肉类差不多都有一股馊了的味道！没有去的都别去啦！,-17.0,-1
13,5711,14,众里寻她·千百度自助烤肉（温江店）,匿名用户,去得早也来了很多人，菜品也多还行,0.0,1
14,5712,15,众里寻她·千百度自助烤肉（温江店）,EEz175499635,完全没有食欲，和朋友一起去的，差到极致！,7.0,1
15,5713,16,众里寻她·千百度自助烤肉（温江店）,匿名用户,一般吧，菜品不是很新鲜，不过是自助餐的通病,0.0,1
16,5714,17,众里寻她·千百度自助烤肉（温江店）,匿名用户,美味,1.0,1
17,5715,18,众里寻她·千百度自助烤肉（温江店）,匿名用户,我们是五点左右去的，刚开始还好，拿了自己喜欢吃的菜，特别喜欢吃五花肉，就拿了一盘，然后吃完之后又打算去拿的，结果五花肉就没了，就边吃其他的边等待五花肉，结果在快要吃完的时候五花肉才上来，吃完的时候就大概六点多，中间一个小时都没有五花肉，而且有好多像我们一样的客人在等待五花肉，去问了也说等会儿就拿出来了，结果拿了一个小时多才拿出来，水果也只有一点点，最后六点多吃完的时候本来打算吃一点水果，结果一个都没有了，真的是没有以前好了，好多菜品都没有足量的供应，下次再也不去了,10.15,1
18,5716,19,众里寻她·千百度自助烤肉（温江店）,匿名用户,菜品少，肉类不新鲜，吃到后面都想吐了！不推荐，,-4.0,-1
19,5717,20,众里寻她·千百度自助烤肉（温江店）,匿名用户,说实话，真的很一般。而且特别小气，娃娃喜欢吃牛排，吃完了在去拿，煎牛肉的那个女的就只给一点点，就够你吃一口……有点欺负你。反正我们是不会再去了,-0.5999999999999996,-1
20,5718,21,众里寻她·千百度自助烤肉（温江店）,asY203765108,遇上下雪天晚上去的，可以临窗看雪,0.0,1
21,5719,22,众里寻她·千百度自助烤肉（温江店）,天荒717,真心不好吃，而且皮皮虾有些都臭了,-3.0,-1
22,5720,23,众里寻她·千百度自助烤肉（温江店）,徐建军27,挺好,1.2,1
23,5721,24,众里寻她·千百度自助烤肉（温江店）,福满兰天,还可以吧，菜品有点少，凉菜可以多一点,0.0,1
24,5722,25,众里寻她·千百度自助烤肉（温江店）,灬亚力大,"。。

。。。。。。。。。。。。。",0.0,1
25,5723,26,众里寻她·千百度自助烤肉（温江店）,Nfi777469286,"鸡皮鸭肠有味道，菜品少，五花肉比一般烤肉的五花肉厚3倍，基本上荤菜都是冷冻过后的，几乎冰都还没化。 
生蚝第一个有沙，有沙的生蚝里的沙留在烤盘里，魔芋粘到沙子，那吃起叫酸爽。第二个生蚝臭了，所以后面的菜基本没有体验感了，因为嘴巴里都是臭味。
虾的那个盘子也基本上都是空的，可能只有那个比较没有风险吧
优点在哪呢，嗯就是小吃多吧。

真的不建议去",1.0,1
26,5724,27,众里寻她·千百度自助烤肉（温江店）,曾198608,不错,1.0,1
27,5725,28,众里寻她·千百度自助烤肉（温江店）,eNt387124543,位置优越，夏天去的时候，窗边银杏是绿色的，秋天就是金黄色，我来这边读书两年了，第一次去的是被惊讶到了，文庙的秋天很美，在这漂亮的地方吃烤肉更是巴适。两年里去了好多次，快毕业了，都舍不着这边的风景美食。,4.0,1
28,5726,29,众里寻她·千百度自助烤肉（温江店）,我爱就好！！,吃了那么多家千百度这家连锁店是吃的最差的一家,-1.0,-1
29,5727,30,众里寻她·千百度自助烤肉（温江店）,KYM803652813,还可以。服务挺好   老板那个人还可以。实在想不到啥了。要多多评论子。乱发咯？可以 他们知道就好了，他们知道就好了。他们知道就好了。他们知道就好了。他们知道就好了。他们知道就好了。他们知道就好了。兔头？他们知道就好了。他们,27.2,1
30,5728,31,众里寻她·千百度自助烤肉（温江店）,匿名用户,后面粉丝没有了老板就不上了，,0.0,1
31,5729,32,众里寻她·千百度自助烤肉（温江店）,匿名用户,菜整体感觉不太行 种类少  朋友说五花肉是人工拼的,-1.0,-1
32,5730,33,众里寻她·千百度自助烤肉（温江店）,FlZ126833502,味道不错呀，速度也很快，规范化操作,0.0,1
33,5731,34,众里寻她·千百度自助烤肉（温江店）,匿名用户,还可以哇。现在各种自助多了，之前去的时候菜品不是很多。,1.5,1
34,5732,35,众里寻她·千百度自助烤肉（温江店）,Unt324645563,此次用餐总体来说不错，觉得比较认可的地方有：配菜合理。,4.0,1
35,5733,36,众里寻她·千百度自助烤肉（温江店）,JsO774272373,肉类基本都是冻货，其他还好 。。。。。。,0.0,1
36,5734,37,众里寻她·千百度自助烤肉（温江店）,cJM299430848,「#套餐：晚餐自助」「#肥牛肉」,1.0,1
37,5735,38,众里寻她·千百度自助烤肉（温江店）,南柯故人ID,很不错，好评,2.0,1
38,5736,39,众里寻她·千百度自助烤肉（温江店）,Kesheily,收银台的姐姐很温柔东西也好吃,1.0,1
39,5737,40,众里寻她·千百度自助烤肉（温江店）,xtdb615913,强烈推荐，真的很好，价位又不贵，菜品比较新鲜，环境又比较舒服，而且老板的人都比较好的那种，还会经常光顾本店的,10.5,1
40,5738,41,众里寻她·千百度自助烤肉（温江店）,凌檬。,环境还可以，味道也不错。停车也方便。,2.5,1
41,5739,42,众里寻她·千百度自助烤肉（温江店）,草莓味的娃哈哈Y,自助都那个样子……一般吧感觉一般一般,1.0,1
42,5740,43,众里寻她·千百度自助烤肉（温江店）,dgG240198953,吃了第二天早上肚子痛的一比，羊肉块很咸，菜品也少，不知道是不是你们肉类不新鲜，肚子真的痛的一比 ，我觉得你们该赔钱,-1.0,-1
43,5741,44,众里寻她·千百度自助烤肉（温江店）,游戏之后,晚上来吃的，蛋挞什么的小吃基本都是中午剩的硬的不行，肉类也比较少，生蚝一股子塑料味道，吃完准备走的时候看到有冰淇淋机，准备弄一个吃的时候服务员告诉我忘开了，这是什么神奇操作？？？？？,21.5,1
44,5742,45,众里寻她·千百度自助烤肉（温江店）,Pachyderm_L,烤肉味道都差不多,0.0,1
45,5743,46,众里寻她·千百度自助烤肉（温江店）,三十二2,还好耶，希望菜品更多一些吧，味道也越来越好,4.5,1
46,5744,47,众里寻她·千百度自助烤肉（温江店）,CZw881782217,来过很多次了，吃吃吃,0.0,1
47,5745,48,众里寻她·千百度自助烤肉（温江店）,YlU352143963,一般般，菜品不是很新鲜,1.0,1
48,5746,49,众里寻她·千百度自助烤肉（温江店）,ylm720,第二次去了的还可以吧其实值得拥有,2.5,1
49,5747,50,众里寻她·千百度自助烤肉（温江店）,ylm720,只能说还可以吧！想吃还是可以吃,0.0,1
50,5748,51,众里寻她·千百度自助烤肉（温江店）,老子是慌心,nice,0.0,1
51,5749,52,众里寻她·千百度自助烤肉（温江店）,rQu362155463,还不错，菜品比较多,1.5,1
52,5750,53,众里寻她·千百度自助烤肉（温江店）,jx1990625,还可以吧，没有以前好吃了，总体来说一般，唯一的优点就是离家近。,2.5,1
53,5751,54,众里寻她·千百度自助烤肉（温江店）,SlH631748110,联系大家不要去，疫情之前味道都还好吃。菜品都挺多的，结果疫情之后服务态度太撇不说，明明说的是几点要做牛排，结果后面又说师傅很忙没得空，价格还收的那么贵。什么菜都没得啥子。专门坑人。这个价格我在加20块。我都可以去吃火锅了，比这家店，菜品多，服务态度还好。今天去过了，以后都不会再去光顾啦。明天服务员和师傅都不忙，他们却说自己很忙，菜也不新鲜。。。如果你们去了。保证后悔死了！！！！！,-12.5625,-1
54,5752,55,众里寻她·千百度自助烤肉（温江店）,Ign351106036,好吃，老顾客了！,5.0,1
55,5753,56,众里寻她·千百度自助烤肉（温江店）,hsy.aa,肉类的都是冰冻。很冰很冰。海鲜类的超级小。小吃和部分饮品都是现做的。素菜还好。但是因为这个价钱，所以就不觉得怎么了。,1.0,1
56,5754,57,众里寻她·千百度自助烤肉（温江店）,adQ163987564,环境也不得行，味道一般，价格还行，很多好的菜品都没得，贵的好的东西准备得少，很早去都没得了,0.5,1
57,5755,58,众里寻她·千百度自助烤肉（温江店）,uIS189264118,可以,0.0,1
58,5756,59,众里寻她·千百度自助烤肉（温江店）,呵呵奥,呵呵 菜品单一不新鲜 而且环境不好，饮料也不齐全,0.0,1
59,5757,60,众里寻她·千百度自助烤肉（温江店）,Rhr940360977,比较不错，加个还算实惠，地方也比较容易找，总体来说比较满意的一次,7.125,1
60,5758,61,众里寻她·千百度自助烤肉（温江店）,Rhr940360977,烤肉不错，性价比高。挺好的哦，喜欢的赶紧来吧，好吃,4.4,1
61,5759,62,众里寻她·千百度自助烤肉（温江店）,吴冰732,东西难吃，肉类不新鲜，海鲜都腐臭了,-4.0,-1
62,5760,63,众里寻她·千百度自助烤肉（温江店）,匿名用户,生蚝随便取，很肥哦！,-5.0,-1
63,5761,64,众里寻她·千百度自助烤肉（温江店）,匿名用户,经济实惠，菜品丰富,3.0,1
64,5762,65,众里寻她·千百度自助烤肉（温江店）,SQ梦里花落知多少,还是小时候的味道最爱来了物美价廉！,5.0,1
65,5763,66,众里寻她·千百度自助烤肉（温江店）,静jingtu,还可以，环境挺干净的，菜品一般多吧,1.7999999999999998,1
66,5764,67,众里寻她·千百度自助烤肉（温江店）,匿名用户,服务一般，菜品少也不是很新鲜，不要问为什么我知道不新鲜，因为我真的拉肚子了。,-3.0,-1
67,5765,68,众里寻她·千百度自助烤肉（温江店）,vWU738520425,非常棒的经常来吃的,1.0,1
68,5766,69,众里寻她·千百度自助烤肉（温江店）,心雨h,这是年后第一次去他家吃烤肉，之前经常在，老板人很好，很热情，还送了新品给我们吃，以后会经常去的。,2.0,1
69,5767,70,众里寻她·千百度自助烤肉（温江店）,hl小薇,我们去了很多次了还可以，里面阿姨服务态度非常好，因为去早了点有些菜没有摆的，阿姨给我们拿了很多菜，好评，,2.5,1
70,5768,71,众里寻她·千百度自助烤肉（温江店）,YZV484391708,亮点很多，菜品新鲜，样式多多,1.0,1
71,5769,72,众里寻她·千百度自助烤肉（温江店）,匿名用户,这家吃过很多次了，菜品挺多的,0.0,1
72,5770,73,众里寻她·千百度自助烤肉（温江店）,匿名用户,吃一次想二次,0.0,1
73,5771,74,众里寻她·千百度自助烤肉（温江店）,RNj767944901,只有鸡肉鸭肉合成肉，菜品少，还都不是啥子好菜，饮料少，可能吃了就要拉肚子，真心不推荐,-2.5,-1
74,5772,75,众里寻她·千百度自助烤肉（温江店）,匿名用户,店里菜品还是挺多的，比较实惠，还有红酒免费的还是比较好的。晚上去还有铁板牛排。服务真的很不错很热情，你如果说是那种一对一的服务那就只有去五星的酒店了。自助餐服务员随叫随到挺好的。素菜也是特别新鲜。,14.870000000000001,1
75,5773,76,众里寻她·千百度自助烤肉（温江店）,TQp151824301,一般,0.0,1
76,5774,77,众里寻她·千百度自助烤肉（温江店）,匿名用户,带上家人去吃的，一个吃完走在路上没5分钟，胃里反胃吐了。一个回家过敏了。请问菜品是有多不新鲜！！！食品一点不安全，饮料也不行！！！一锤子买卖！！！！,-40.1,-1
77,5775,78,众里寻她·千百度自助烤肉（温江店）,LtA184617513,没办法形容，反正我是不会再去了,0.0,1
78,5776,79,众里寻她·千百度自助烤肉（温江店）,匿名用户,菜不新鲜，很多菜没得了。。。。。,-2.0,-1
79,5777,80,众里寻她·千百度自助烤肉（温江店）,匿名用户,严重差评，我们到的时候是七点半，很多菜都没有了，说要先买单，要添菜，结果单买了就没上，只上了一次花甲和水果，服务员的态度超级差，问她啥，她都像没听到一样。重来没有评论过，这次真的是服了！,-5.0,-1
80,5778,81,众里寻她·千百度自助烤肉（温江店）,匿名用户,态度一般！菜一般！肉类全是哪种………,0.0,1
81,5779,82,众里寻她·千百度自助烤肉（温江店）,fwC957892711,达到了平均水平。对得起这个价格。,1.0,1
82,5780,83,众里寻她·千百度自助烤肉（温江店）,PiS905858470,味道一般般，吃多了有点腻人，肉质很一般,0.0,1
83,5781,84,众里寻她·千百度自助烤肉（温江店）,匿名用户,服务员不管，我们不太会用那个烤肉机器，他们也没有人在旁边说帮忙弄，，没有垃圾桶，饮料种类少，8点过来，已经是剩菜了，环境还行，服务不行，基本没有，厕所很小，没人管厕所卫生，蹲坑旁边你们懂得，很恶心，我蹲下去都感觉恶心，，，，不管你们觉得我说的对不对，你们去过就知道了,-5.5,-1
84,5782,85,众里寻她·千百度自助烤肉（温江店）,茉熙66610,位置很好找，人均消费不贵，菜品较丰富，蔬菜新鲜，服务很热情，海鲜～蔬菜～甜品样样有，麻辣牛肉沾干碟非常好吃，蘸料有3种，还有牛排，鲜毛肚，自配冰粉等，三个人吃的很饱～～～～～～～～～～～～～～～～～～,0.5,1
85,5783,86,众里寻她·千百度自助烤肉（温江店）,阿黛黛尔,感觉还不错！品种还是多,5.5,1
86,5784,87,众里寻她·千百度自助烤肉（温江店）,匿名用户,还是不错的选择，推荐咯！加油加油加油加油加油,6.0,1
87,5785,88,众里寻她·千百度自助烤肉（温江店）,匿名用户,"还可以，今天一次再来这里，非常好吃
【环境】

【服务】
【等位】 #鸡尖# #鸡皮# #土豆# #四季豆# #生菜# #凉粉# #苦瓜蛋# #烤鱼# #肥牛肉#",1.5,1
88,5786,89,众里寻她·千百度自助烤肉（温江店）,飞哥很飞呀,已经是第N次去了。老板热心，菜品多。主要熟食我多，很不错的,7.875,1
89,5787,90,众里寻她·千百度自助烤肉（温江店）,PMR272353910,还不错，吃了好多次了，价格便宜。。。。,2.5,1
90,5788,91,众里寻她·千百度自助烤肉（温江店）,aEE980787864,刚走到楼梯口就听到别人不好吃，下次不会来了，，后头上去了，里面超级热，背都打湿了，而且四个冰柜就有两个冰柜是素菜，荤菜几乎没有空盘，虾有几个，。我也是醉了，后面就只有一直吃郡肝，蘸料只有一点，我还被蚊子咬掺了,0.0,1
91,5789,92,众里寻她·千百度自助烤肉（温江店）,VOo657849524,说实话，我觉得不好吃，而且店铺是45，美团43.8，给服务员说在美团定的，服务员还不大高兴,0.0,1
92,5790,93,众里寻她·千百度自助烤肉（温江店）,匿名用户,环境挺好，菜品丰富，酒水免费，烤肉味道很好，服务热情,5.2,1
93,5791,94,众里寻她·千百度自助烤肉（温江店）,fft188230369,位置很好找 但是生意太好了叭 每次都只能坐外面,1.0,1
94,5792,95,众里寻她·千百度自助烤肉（温江店）,匿名用户,还可以，值得来，菜品比较多，我们两人吃的,1.5,1
95,5793,96,众里寻她·千百度自助烤肉（温江店）,匿名用户,上面写的1.2-1.4 米孩子是30元，去吃孩子1.36收了35元，收银员说就是这么多 ，服务态度不好,-1.75,-1
96,5794,97,众里寻她·千百度自助烤肉（温江店）,匿名用户,菜品太少了，一些海鲜一点都不新鲜，闻着很大一股味道，感觉都要坏了，,-2.44,-1
97,5795,98,众里寻她·千百度自助烤肉（温江店）,我的笑容～,，，，，，，值得推荐，很好吃，菜品也多,3.0,1
98,5796,99,众里寻她·千百度自助烤肉（温江店）,鹏哥稀饭艳姐,【口味】很不错哦 【环境】夏天空调吹着好爽哦 【服务】服务很周到哈 【等位】早点去无需等位哦,2.0,1
99,5797,100,众里寻她·千百度自助烤肉（温江店）,Mcc660118444,很喜欢,1.0,1
100,5798,101,众里寻她·千百度自助烤肉（温江店）,小笙不才m,菜品挺丰富 比同价的咬要好得多建议去尝尝哦,1.2,1
101,5799,102,众里寻她·千百度自助烤肉（温江店）,GAI氏家族,老样子，味道不错，很喜欢 #五花肉# #肥牛肉# #培根# #西瓜# #鸡尖# #郡肝# #水果沙拉# #布丁奶茶# #鸡皮#,2.75,1
102,5800,103,众里寻她·千百度自助烤肉（温江店）,懒喵988,恕我直言，生蚝和扇贝都是坏的，腥味儿很重。水的品种是真的少，不过阿姨的服务态度还是挺好的。,0.19999999999999996,1
103,5801,104,众里寻她·千百度自助烤肉（温江店）,Yyc887316667,很棒，真的特别棒，今天过生日老板还送了酒，非常感谢东西也很棒，值得推荐，五星好评,5.5,1
104,5802,105,众里寻她·千百度自助烤肉（温江店）,EXU327041576,菜的味道不好，上菜速度慢，菜量少,-1.0,-1
105,5803,106,众里寻她·千百度自助烤肉（温江店）,GAI氏家族, #布丁奶茶# #鸡尖# #肥牛肉#,0.0,1
106,5804,107,众里寻她·千百度自助烤肉（温江店）,gSj832074729,服务很好，菜品种类多，新鲜，值得推荐,5.5,1
107,5805,108,众里寻她·千百度自助烤肉（温江店）,匿名用户,菜品有点少，其他还好，饮料多，服务热情,2.1,1
108,5806,109,众里寻她·千百度自助烤肉（温江店）,安乐535,菜品一般。性比价不高，基围虾很小一个，花甲，龙虾味道一般而已，菜品也不是很丰富,0.0,1
109,5807,110,众里寻她·千百度自助烤肉（温江店）,r注定孤独终老,从来没见过这种商家，我八点五十到，他说啥都有，我看确实还有菜品，结果九点就开始下班的下班，菜全部收拾完了，我直接找不到吃的，你那么想关门你就不要开门嘛，直接关门大吉嘛，九点  而且还有五六桌人吃饭，菜都收完我吃你妈卖批,0.0,1
110,5808,111,众里寻她·千百度自助烤肉（温江店）,宋蛋蛋12345,晚上去吃的 ，第二天早上起来 肚子就疼。😁,0.0,1
111,5809,112,众里寻她·千百度自助烤肉（温江店）,YnL690874759,品种多，便宜,1.75,1
112,5810,113,众里寻她·千百度自助烤肉（温江店）,匿名用户,味道还不错，已经是回头客了，今天是还我喜欢的人去吃的，感觉很幸福,4.75,1
113,5811,114,众里寻她·千百度自助烤肉（温江店）,tEV496329560,过了很久才评价，这个是去年和男朋友一起去吃的自助，感觉环境还行，菜品一般，,1.0,1
114,5812,115,众里寻她·千百度自助烤肉（温江店）,qry401658003,千万不要来都是骗人的。太假了 只有一次不会再来第二次了,-1.0,-1
115,5813,116,众里寻她·千百度自助烤肉（温江店）,匿名用户,周末节假日，去晚了菜不齐全！便宜性价比还不错。,7.5,1
116,5814,117,众里寻她·千百度自助烤肉（温江店）,杨老大A,好不错。。。。。。。。。。。。。。.......。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2.0,1
117,5815,118,众里寻她·千百度自助烤肉（温江店）,韩妹妹4622,这家店是比较近好找的，而且环境也比较好，每次去吃，我们都是做得同一个位置，而且菜品也很多，但是海鲜类产品不太满意哦。,1.25,1
118,5816,119,众里寻她·千百度自助烤肉（温江店）,神明哇,环境很好，东西很好吃，来过很多次了。,1.0,1
119,5817,120,众里寻她·千百度自助烤肉（温江店）,匿名用户,emmm环境不错，就是我想说的就是可以及时供应菜品嘛，有一样菜没有了，后面就一直不补上，还有那个豆干的吃起来像变质了。,0.0,1
120,5818,121,众里寻她·千百度自助烤肉（温江店）,匿名用户,味道还可以 #五花肉# #肥牛肉# #炸鸡腿#,0.0,1
121,5819,122,众里寻她·千百度自助烤肉（温江店）,匿名用户,在这里成就了爱情，，来了N次了,2.0,1
122,5820,123,众里寻她·千百度自助烤肉（温江店）,匿名用户,不好，不满意 【口味】不好 【服务】还好 【等位】,-3.0,-1
123,5821,124,众里寻她·千百度自助烤肉（温江店）,吃啊啊啊吃啊啊啊,远远不如以前。。。。。。。。。,0.0,1
124,5822,125,众里寻她·千百度自助烤肉（温江店）,依然是那个思妹, #寿司# #烤鱼# #卤鸭翅# #水果沙拉# #鸡皮# #培根# #鸡尖# #肥牛肉# #西瓜# #郡肝# #蘸酱# #布丁奶茶# #银耳汤# #凉菜# #鲜虾# #毛肚# #酸奶# #铁板烧# #布丁冰淇淋# #铁板鱿鱼#,0.0,1
125,5823,126,众里寻她·千百度自助烤肉（温江店）,Ahu963010813,味道还可以，周末早点去晚了菜不齐。没有座位,0.0,1
126,5824,127,众里寻她·千百度自助烤肉（温江店）,qfj870118899,口味非常好  环境地方非常优雅  服务态度非常好,3.0,1
127,5825,128,众里寻她·千百度自助烤肉（温江店）,廷廷luo,菜的种类太少了，而且不新鲜，3个人去吃，结果全部拉肚子，,-1.0,-1
128,5826,129,众里寻她·千百度自助烤肉（温江店）,lug924314797,味道真的打脑壳，菜品不行不够新鲜排骨还有异味,-2.0,-1
129,5827,130,众里寻她·千百度自助烤肉（温江店）,峰要健康的, #五花肉# #肥牛肉# #培根# #西瓜#,0.0,1
130,5828,131,众里寻她·千百度自助烤肉（温江店）,阿麟689,我觉得还好 去了很多次 都是哪一个味道 哈哈 习惯了,1.0,1
131,5829,132,众里寻她·千百度自助烤肉（温江店）,匿名用户,味道还是可以，老顾客了，环境不错。,1.75,1
132,5830,133,众里寻她·千百度自助烤肉（温江店）,Qjc881444458,菜很多品种齐全，在美团上购买还很便宜，还有沙拉好好吃,3.5,1
133,5831,134,众里寻她·千百度自助烤肉（温江店）,Mr阿杜,好评,1.0,1
134,5832,135,众里寻她·千百度自助烤肉（温江店）,匿名用户,味道可以,0.0,1
135,5833,136,众里寻她·千百度自助烤肉（温江店）,匿名用户,感觉还不错 第一次去自己烤 都糊了 这次老爸去烤的 超级棒,3.5,1
136,5834,137,众里寻她·千百度自助烤肉（温江店）,jKs706087803,菜品种类太少了需提升，卫生也一般般,2.0,1
137,5835,138,众里寻她·千百度自助烤肉（温江店）,匿名用户,非常不错 #五花肉# #肥牛肉# #蛋挞# #银耳汤# #毛肚# #鲜虾# #铁板烧# #布丁冰淇淋# #铁板鱿鱼#,1.0,1
138,5836,139,众里寻她·千百度自助烤肉（温江店）,匿名用户,说真心话  真的不咋样的   味道真的不好,1.0,1
139,5837,140,众里寻她·千百度自助烤肉（温江店）,AgX617332442,第一次和朋友出来吃烤肉，感觉味道还不错，吃的还挺多的，多种蔬菜，水果，肉食，饮料也挺多的。总得来说还是可以的。就是没有服务员主动过来换油纸🙄️🙄️🙄️。,26.459999999999994,1
140,5838,141,众里寻她·千百度自助烤肉（温江店）,城门Cc,哈哈哈，挺好的,1.2,1
141,5839,142,众里寻她·千百度自助烤肉（温江店）,匿名用户,服务员不是很大方，纸都这样了还说可以用不给换，还是换了另外一个服务员才给换的，菜还行,0.0,1
142,5840,143,众里寻她·千百度自助烤肉（温江店）,gZg443251304,挺好的,1.2,1
143,5841,144,众里寻她·千百度自助烤肉（温江店）,Bad啵,味道还可以，郡肝很好吃哦～鸡尖也好吃,2.5,1
144,5842,145,众里寻她·千百度自助烤肉（温江店）,YangＸＲ,感觉还好吧，哈哈哈哈哈哈哈哈哈哈哈,0.0,1
145,5843,146,众里寻她·千百度自助烤肉（温江店）,ZdY141876119,菜品少，环境也不是很好，人多桌子上多放几个菜就放不下了，而且烤盘也小,1.0,1
146,5844,147,众里寻她·千百度自助烤肉（温江店）,匿名用户,味道不错，服务也很好，价格非常便宜，点赞,3.0,1
147,5845,148,众里寻她·千百度自助烤肉（温江店）,风从云雨,嗯，多少价钱买多少吃的，你们自己估量吧，60能吃什么就是什么,0.0,1
148,5846,149,众里寻她·千百度自助烤肉（温江店）,匿名用户,不好吃，菜越来越少了，肉很少。,-1.0,-1
149,5847,150,众里寻她·千百度自助烤肉（温江店）,提灯笼的小鲨鱼,菜品不是很新鲜，而且太杂了！！,9.0,1
150,5848,151,众里寻她·千百度自助烤肉（温江店）,PCK586095000,菜品里面还有钢丝球，还吃出一想胶线,0.0,1
151,5849,152,众里寻她·千百度自助烤肉（温江店）,nEd488838036,实话实说，第一次美团差评，昨晚7点多去的，我们一家6个人，去了什么都没有了，水果水果没有，海鲜有怪味，鸭头吃了两个，后来再要没有了，没办法从冰箱给我拿出来几个冻的鸭头，我说太凉，告诉我自己在炉子上烤烤就好了，实在没吃的想吃个冰淇凌，接出来是水，如果一个自助餐，还要这样省电省材料，那就不要在开了，我吃饭不是没给钱，吃了一顿自助餐基本没吃别的，就喝汽水了，真的差，良心评价，去过的就知道了,3.5,1
152,5850,153,众里寻她·千百度自助烤肉（温江店）,小恺要吃饭, #五花肉# #培根# #布丁奶茶# #水果沙拉# #蛋挞# #鸡蛋洋葱圈# #西瓜# #鸡皮# #鸡尖# #郡肝# #凉菜# #毛肚# #铁板烧# #布丁冰淇淋# #虾子# #黄金糕# #拌菜# #南瓜饼# #鲜虾#,1.0,1
153,5851,154,众里寻她·千百度自助烤肉（温江店）,淩0123,还不错，已经是第二次去了，菜品比较多，熟食也时时供应 #培根# #水果沙拉#,1.5,1
154,5852,155,众里寻她·千百度自助烤肉（温江店）,匿名用户, #五花肉# #西瓜# #鸡尖# #培根# #鸡皮# #郡肝# #银耳汤# #酸奶# #蛋挞# #凉菜# #肉肉肉# #饺子# #毛肚# #鲜虾# #布丁冰淇淋# #铁板烧# #南瓜饼# #披萨#,0.0,1
155,5853,156,众里寻她·千百度自助烤肉（温江店）,liuyong8116,菜品多，味道也不錯，價格實惠。 #鸡尖# #水果沙拉# #蛋挞# #烤鱼# #鱼排# #烤肉# #铁板烧# #贝壳# #肉肉肉# #铁板鱿鱼# #肥牛肉# #五花肉# #鲜虾# #披萨# #葡萄#,0.0,1
156,5854,157,众里寻她·千百度自助烤肉（温江店）,ayx2013,菜品不是很多，调料还不错😊😀,1.5,1
157,5855,158,众里寻她·千百度自助烤肉（温江店）,MHX335949828,菜品很一般，缺了菜也加的不及时，应该不会再来光顾了 #肥牛肉#,0.0,1
158,5856,159,众里寻她·千百度自助烤肉（温江店）,匿名用户,【等位】 【服务】 【口味】 【服务】 【等位】 【口味】 【服务】 【等位】 【等位】 #豆腐#,0.0,1
159,5857,160,众里寻她·千百度自助烤肉（温江店）,匿名用户,【口味】 【环境】 【服务】 #五花肉# #鸡尖# #西瓜# #鸡皮# #郡肝# #水果沙拉# #蛋挞# #银耳汤# #鸡蛋洋葱圈# #肉肉肉# #毛肚#,0.0,1
160,5858,161,众里寻她·千百度自助烤肉（温江店）,匿名用户, #寿司# #蛋挞# #水果沙拉# #银耳汤# #鸡蛋洋葱圈# #鲜虾# #虾子# #毛肚# #黄金糕# #南瓜饼# #烤鱼# #酸奶# #五花肉# #培根#,1.0,1
161,5859,162,众里寻她·千百度自助烤肉（温江店）,倩倩喏,味道挺好的，经常去,1.2,1
