,Unnamed: 0,店铺名称,用户名,评论,sent
11,11,一只酸奶牛（财大店）,ss19971018,不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,1
12,12,一只酸奶牛（财大店）,DSF668444714,「#套餐：【暖暖热饮】暖暖奶香紫米（含酸奶盖）」我反正是爱上了这个，哈哈哈哈,1
13,13,一只酸奶牛（财大店）,天道阴极,针不戳,0
14,14,一只酸奶牛（财大店）,好好吃饭冲冲冲,「#套餐：【人气新品】暖暖奶香芋泥」「#暖暖奶香芋泥」 【口味】好喝好喝，芋泥很多很多，真的超好喝的，也不会腻 【环境】好好好好....大湾小吃街巷子左边进去没多远就到了 【服务】很好，很热情，下午去的，只要不赶上饭点，人就不多没等多久 一个字☝️买！！！赶快喝,1
15,15,一只酸奶牛（财大店）,kaC146108536,一般吧，味道没有别的好！,1
16,16,一只酸奶牛（财大店）,想菜单好难,「#套餐：【11.11限购】暖暖奶香红豆」「#暖暖奶香紫米」「#暖暖奶香芋泥」「#暖暖奶香红豆」「#暖暖奶香燕麦」新品都喝过了，全靠美团优惠，味道还不错，就是真的甜了，都长胖了 【口味】【环境】【服务】【性价比】都挺好的吧,1
17,17,一只酸奶牛（财大店）,想菜单好难,「#套餐：【11.11限购】暖暖奶香燕麦」「#暖暖奶香红豆」 【口味】味道还不错 【环境】环境也比较好 【服务】服务态度也挺好的 【性价比】抢券的话性价比还真的挺好的 「#套餐：【11.11限购】暖暖奶香燕麦」「#暖暖奶香红豆」,1
18,18,一只酸奶牛（财大店）,UoD415687040,此次用餐总体来说不错，觉得比较认可的地方有：口味、环境。,1
19,19,一只酸奶牛（财大店）,嘟嘟小可爱12,挺好喝的 去的时候正好只有这个热饮了 其实就是奶茶哈 奶香味挺重的「#套餐：【11.11限购】暖暖奶香红豆」很好喝哈哈哈哈 我洗就喜欢这种甜甜的奶茶！还有红豆 真的很不错诶 【口味】很好喝 很甜 很暖和诶哈哈哈哈哈哈哈哈哈,1
20,20,一只酸奶牛（财大店）,想菜单好难,「#套餐：【人气新品】暖暖奶香芋泥」味道还不错「#套餐：【人气新品】暖暖奶香芋泥」「#暖暖奶香芋泥」 【口味】味道挺不错的(*๓´╰╯`๓)♡ 【环境】环境也比较好 【服务】服务态度还不错 【性价比】抢券的话性价比还比较好「#套餐：【人气新品】暖暖奶香芋泥」,1
21,21,一只酸奶牛（财大店）,WWl898137759,好喝，还是那个味道，等的蛮久的，没给我小票，排多少号也不知道，就这么干看着我那份的奶盖慢慢在前台化掉，第一次见酸奶牛不给我插吸管，还蛮不习惯的，其他都整挺好，看在奶香紫米那么好喝的面子上，还是给好评吧，,1
22,22,一只酸奶牛（财大店）,nzp1223,不太喜欢！！！甜死人了！！！这款真的齁甜，又不能调整糖度。还是点别的酸奶系列吧！,1
23,23,一只酸奶牛（财大店）,官官呀123,这次就餐整体感觉很赞，比较满意的方面有：口味。,1
24,24,一只酸奶牛（财大店）,匿名用户,这个真的是超级难喝。说实话 我喝了这么奶茶 一只酸奶牛我也喝过这么多次。但是这家酸奶牛真的是超级难喝。下次一定不会再来这家买了 我都觉得这家酸奶牛就是在侮辱这个品牌了。但是店里面的小姐姐服务这些还是不错的。 就是酸奶难喝,0
25,25,一只酸奶牛（财大店）,匿名用户,不好喝，本以为是酸奶，结果是纯牛奶，还是1元一袋的牛奶加工而成的。很差,0
26,26,一只酸奶牛（财大店）,国荣的马子leslie,喜欢芋泥 还是挺好喝的  棒棒哒。    哈哈哈,1
27,27,一只酸奶牛（财大店）,夜如白昼,第一次喝一只酸奶牛，不喜欢酸奶就试试牛奶。很好喝呀,1
28,28,一只酸奶牛（财大店）,独立干饭人,很不错哦 酸奶盖很好吃 也太适合冬天了叭,1
29,29,一只酸奶牛（财大店）,cEm294298757,点了点很多次这家了，之前都忘了评价，今天给个屁中肯的好评,1
30,30,一只酸奶牛（财大店）,DhE383648833,呃又又又又又拉肚子了，这次上完厕所还痛很久。算了，多给一颗星吧。下次也不去试了，可能是我的问题。,1
31,31,一只酸奶牛（财大店）,atv407114336,特别甜不推荐，它家我感觉只有紫米酸奶好喝,1
32,32,一只酸奶牛（财大店）,Oho277388422,我觉得可能之装了半杯吧,1
33,33,一只酸奶牛（财大店）,ABC过眼云烟,和以前的老婆经常去吃刨酸奶，夏天的一个小幸福。,1
34,34,一只酸奶牛（财大店）,DhE383648833,人太少弄得比较慢。 里面的有些紫米没散开，有一小坨。 而且喝完有点肚子痛,0
35,35,一只酸奶牛（财大店）,白白zzx,奶茶好了就一直放着，我不知道是要把冷饮放热吗？本来人就多，等了30分钟左右，前面的号和后面的号都取了，我的还不知道做没做？难道不是按先后顺序做吗？以后都不想喝这家的奶茶了，火都大了,0
36,36,一只酸奶牛（财大店）,pcP356685205,这次就餐整体感觉很赞，比较满意的方面有：团购接待、口味、环境、性价比、服务。「#套餐：【人气新品】暖暖奶香紫米（含奶盖）」,1
37,37,一只酸奶牛（财大店）,xPH619343497,没有紫米露好喝,1
38,38,一只酸奶牛（财大店）,阿喵呜啊007,「#套餐：【暖暖热饮】暖暖奶香紫米（含酸奶盖）」,1
39,39,一只酸奶牛（财大店）,阿喵呜啊007,好好好好好好好好还行「#套餐：【多水果】草莓朵朵酸奶多」,1
40,40,一只酸奶牛（财大店）,Mdr961840797,服务态度很好，牛奶很香「#套餐：【多水果】草莓朵朵酸奶多」「#暖暖奶香燕麦」好喝,1
41,41,一只酸奶牛（财大店）,清风徐来Lexus,可以可以~在夜市的,1
42,42,一只酸奶牛（财大店）,匿名用户,我觉得挺不错的，就是奶茶＋奶盖，好喝,1
43,43,一只酸奶牛（财大店）,Rkv631760751,店员效率较低，操作明显不熟练。,0
44,44,一只酸奶牛（财大店）,爱吃的琳琳Linda,实在是太慢了，等了好久哦，都还没等到,1
45,45,一只酸奶牛（财大店）,bQK692747949,很好喝！味道也适中，特别好！就在大湾里，地理位置比较好找,1
46,46,一只酸奶牛（财大店）,长安lt,很满意的一次就餐体验，整体评价的话我觉得：环境。,1
47,47,一只酸奶牛（财大店）,Mdr961840797,好！,1
48,48,一只酸奶牛（财大店）,VzV370450374,不错不错 味道好极了 还比较喜欢喝这个酸奶,1
49,49,一只酸奶牛（财大店）,超甜呐h,感觉好好看哈哈哈,1
50,50,一只酸奶牛（财大店）,amz626892661,嗯，正常糖对我来说过于甜了，温热的这一点还可以,1
51,51,一只酸奶牛（财大店）,UIT961563656,很不错，就是忘给勺子了吃着不太方便。,1
52,52,一只酸奶牛（财大店）,知行合一398,不错不错，味道一如既往，好极啦！,1
53,53,一只酸奶牛（财大店）,GdR715099915,挺好吃的，有茉香味，做的也非常快,1
54,54,一只酸奶牛（财大店）,ZcN480219642,很好喝！！,1
55,55,一只酸奶牛（财大店）,娜娜米111,味道很棒，服务态度也很好，推荐,1
56,56,一只酸奶牛（财大店）,ycj675475220,酸奶牛是真的好喝！！甜而不腻 喝完也不会很罪恶,1
57,57,一只酸奶牛（财大店）,匿名用户,此次用餐总体来说不错，觉得比较认可的地方有：口味、性价比。,1
58,58,一只酸奶牛（财大店）,Abt870568529,「#套餐：卡乐比酸奶杯（2杯）」个人觉得非常好的一个搭配酸奶浓稠合起来看起没有添加任何的水分。再加上哈密瓜荷叶麦片等等，营养丰富。 店铺里有几处座位，环境不错，速度的快慢取决于是否有其他的人需要排队。 两杯就能搞好吃饱,1
59,59,一只酸奶牛（财大店）,芙色,此次用餐总体来说不错，觉得比较认可的地方有：口味、性价比。,1
60,60,一只酸奶牛（财大店）,我叫糖糖小主,此次用餐总体来说不错，觉得比较认可的地方有：配菜合理、服务到位、口味不错、菜品丰富、份量充足、环境优美。,1
61,61,一只酸奶牛（财大店）,恰妹儿,最喜欢点这家的刨酸奶了，夏日必备。,1
62,62,一只酸奶牛（财大店）,爱吃的琳琳Linda,不会不好服务超级差，老板凶得很,0
63,63,一只酸奶牛（财大店）,yuer19910119,挺好喝的，冰饮。。。。。。。。。,1
64,64,一只酸奶牛（财大店）,JVz853955684,一般,0
65,65,一只酸奶牛（财大店）,zyh777954592,好喝，网上团购比现场买便宜点。,1
66,66,一只酸奶牛（财大店）,香草653,好喝,1
67,67,一只酸奶牛（财大店）,Ditttttttto,服务员态度真的很差 莫名其妙点单时候就对顾客一股火气 最后封的时候也没封好 手直接碰吸管饮用部位 不会再来了,0
68,68,一只酸奶牛（财大店）,匿名用户,好,1
69,69,一只酸奶牛（财大店）,小七阿奇,一般般吧 没有招牌的酸奶紫米露好吃 刨冰份量有点少,1
70,70,一只酸奶牛（财大店）,pdd943612984,可以,0
71,71,一只酸奶牛（财大店）,风之彩7570,一直喜欢，口感不错，质量保证，还会继续光顾,1
72,72,一只酸奶牛（财大店）,pdd943612984,还是可以嘛,1
73,73,一只酸奶牛（财大店）,聆听花开丶,换个服务员吧。。真的 。               。      。。。。。。,1
74,74,一只酸奶牛（财大店）,疗伤烧肉粽1,刨酸奶好好吃,1
75,75,一只酸奶牛（财大店）,ct！！,可以,0
76,76,一只酸奶牛（财大店）,YummyKusu,太喜欢吃了，可惜美团上涨价了,1
77,77,一只酸奶牛（财大店）,eki539829336,变了，以前的核桃现在都换成花生了，难受……,0
78,78,一只酸奶牛（财大店）,psM209273941,蓝莓刨酸奶好吃🤔,1
79,79,一只酸奶牛（财大店）,xIf492450443,这个超级好吃的   已经第二次买了   值得购买,1
80,80,一只酸奶牛（财大店）,MI丶婉儿,团的价格很划算，配料超多，水果也新鲜,1
81,81,一只酸奶牛（财大店）,bHz814716883,虽然很好吃，但是就是巨甜，不适合我个人口味,1
82,82,一只酸奶牛（财大店）,KFT292770501,里面的花生和核桃很有香酥感，下面是酸奶喝冰一起搅碎，有点冰沙的感觉，奥利奥和酸奶很配，但是会腻，加水果正好合适,1
83,83,一只酸奶牛（财大店）,匿名用户,好吃！,1
84,84,一只酸奶牛（财大店）,VIP00902566,好吃，超级喜欢吃，经常来带一个走,1
85,85,一只酸奶牛（财大店）,匿名用户,很棒哦，味道很棒。 料也很足,1
86,86,一只酸奶牛（财大店）,匿名用户,喜欢吃刨酸奶，坚果很多，奥利奥碎可以多点就更好了。(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧(๑•̀ㅂ•́)و✧,1
87,87,一只酸奶牛（财大店）,匿名用户,很好 #刨酸奶#,1
88,88,一只酸奶牛（财大店）,贝拉爱丘山,酸奶牛的刨酸奶是我最喜欢的没有之一   很棉有坚果有果酱一级棒大写赞 就是分量有些小,1
89,89,一只酸奶牛（财大店）,哈哈哈哈厉害了,红红火火恍恍惚惚，好吃的，但就是对于我而言，有点太甜了。,1
90,90,一只酸奶牛（财大店）,匿名用户,味道还不错，就是化得太快了。吃到后面全是水,0
91,91,一只酸奶牛（财大店）,WLh631829721,味道巴适，就是人太多等的时间有点久,1
92,92,一只酸奶牛（财大店）,匿名用户,【口味】一只酸奶牛令人震撼“细腻”： 入口超滑柔!感觉不到那种浓烈的食品添加剂味道，具有温雅柔和的天然发酵醇香味，口感酸甜适宜，滑爽细腻，回味无穷。口感纯正，清爽、清新、清凉，是其他饮品无法比拟的，令人震撼。 【环境】好 【服务】好 【等位】好,1
93,93,一只酸奶牛（财大店）,匿名用户,还可以,1
94,94,一只酸奶牛（财大店）,FCV494999698,好吃 #刨酸奶#,1
95,95,一只酸奶牛（财大店）,匿名用户,【服务】不好。 【口味】不如以前。,1
96,96,一只酸奶牛（财大店）,请叫我杰西卡,喜欢的口味。,1
97,97,一只酸奶牛（财大店）,匿名用户,吃过很多次啦，酸奶很好哈哈哈哈哈哈哈嘿嘿嘿,1
98,98,一只酸奶牛（财大店）,串串儿，,真的是正儿八经的回头客了，光顾了很多次，没有一次失望的，商家做得好回头客就多真的是有原因的，老板心细又大气，真的是一次不错的体验。用上券也是非常实惠的，也没有说因为用了券就降低成本。太棒了，以后还来，祝生意兴隆。,1
99,99,一只酸奶牛（财大店）,匿名用户,饮品比较喜欢，很多时候都会来吃。,1
